Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,84.7875,-61.9125,180,bottom
C2,22pF,C_0805_2012Metric,99.86875,-76.2,0,bottom
C3,22pF,C_0805_2012Metric,99.86875,-82.55,180,bottom
C4,10uF,C_0805_2012Metric,62.5625,-72.23125,0,bottom
C5,0.1uF,C_0805_2012Metric,62.5625,-74.6125,0,bottom
C6,0.1uF,C_0805_2012Metric,62.5625,-84.1375,0,bottom
C7,0.1uF,C_0805_2012Metric,62.5625,-79.375,0,bottom
C8,0.1uF,C_0805_2012Metric,62.5625,-81.75625,0,bottom
C9,0.1uF,C_0805_2012Metric,62.5625,-76.99375,0,bottom
D1,PRTR5V0U2X,SOT-143,70.95,-76.22375,0,bottom
D14,D_Small,D_SOD-123,76.99375,-98.425,90,bottom
D15,D_Small,D_SOD-123,96.04375,-98.425,90,bottom
D16,D_Small,D_SOD-123,115.09375,-98.425,90,bottom
D17,D_Small,D_SOD-123,134.14375,-98.425,90,bottom
D18,D_Small,D_SOD-123,76.99375,-117.475,90,bottom
D19,D_Small,D_SOD-123,96.04375,-117.475,90,bottom
D20,D_Small,D_SOD-123,115.09375,-117.475,90,bottom
D21,D_Small,D_SOD-123,134.14375,-117.475,90,bottom
D22,D_Small,D_SOD-123,76.99375,-136.525,90,bottom
D23,D_Small,D_SOD-123,96.04375,-136.525,90,bottom
D24,D_Small,D_SOD-123,115.09375,-136.525,90,bottom
D25,D_Small,D_SOD-123,134.14375,-136.5875,90,bottom
F1,500m,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,62.70625,-67.36875,90,bottom
R1,5.1k,R_0805_2012Metric,69.05625,-69.99375,90,bottom
R2,5.1k,R_0805_2012Metric,71.4375,-69.99375,90,bottom
R3,22,R_0805_2012Metric,72.88125,-63.5,180,bottom
R4,22,R_0805_2012Metric,71.58125,-65.88125,180,bottom
R5,1k,R_0805_2012Metric,80.9625,-84.1375,0,bottom
R6,10k,R_0805_2012Metric,117.475,-85.725,0,bottom
R7,499,R_0805_2012Metric,68.11875,-82.55,0,bottom
SW1,SW_Push,SKQG-1155865,127.79375,-81.75625,180,bottom
U1,AT90USB1286-AU,TQFP-64_14x14mm_P0.8mm,85.725,-72.23125,270,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,65.88125,-53.975,0,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,99.525,-79.43125,0,bottom
