Ref,Val,Package,PosX,PosY,Rot,Side
"D2","SK6812MINI-E","MX_SK6812MINI-E",69.850000,-92.075000,180.000000,bottom
"D3","SK6812MINI-E","MX_SK6812MINI-E",88.900000,-92.075000,180.000000,bottom
"D4","SK6812MINI-E","MX_SK6812MINI-E",107.950000,-92.075000,180.000000,bottom
"D5","SK6812MINI-E","MX_SK6812MINI-E",127.000000,-92.075000,180.000000,bottom
"D6","SK6812MINI-E","MX_SK6812MINI-E",69.850000,-111.125000,180.000000,bottom
"D7","SK6812MINI-E","MX_SK6812MINI-E",88.900000,-111.125000,180.000000,bottom
"D8","SK6812MINI-E","MX_SK6812MINI-E",107.950000,-111.125000,180.000000,bottom
"D9","SK6812MINI-E","MX_SK6812MINI-E",127.000000,-111.125000,180.000000,bottom
"D10","SK6812MINI-E","MX_SK6812MINI-E",69.850000,-130.175000,180.000000,bottom
"D11","SK6812MINI-E","MX_SK6812MINI-E",88.900000,-130.175000,180.000000,bottom
"D12","SK6812MINI-E","MX_SK6812MINI-E",107.950000,-130.175000,180.000000,bottom
"D13","SK6812MINI-E","MX_SK6812MINI-E",127.000000,-130.175000,180.000000,bottom
