Comment,Designator,Footprint,LCSC
"1uF","C1","Capacitor_SMD:C_0805_2012Metric","C307362"
"22pF","C2,C3","Capacitor_SMD:C_0805_2012Metric","C165459"
"10uF","C4","Capacitor_SMD:C_0805_2012Metric","C105506"
"0.1uF","C5,C6,C7,C8,C9","Capacitor_SMD:C_0805_2012Metric","C318717"
"PRTR5V0U2X","D1","Package_TO_SOT_SMD:SOT-143","C2827688"
"D_Small","D14,D15,D16,D17,D18,D19,D20,D21,D22,D23,D24,D25","Diode_SMD:D_SOD-123","C2932875"
"SK6812MINI-E","D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13","kicad-keyboard-parts:MX_SK6812MINI-E","C5378731"
"500m","F1","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","C2836286"
"5.1k","R1,R2","Resistor_SMD:R_0805_2012Metric","C118848"
"22","R3,R4","Resistor_SMD:R_0805_2012Metric","C286513"
"1k","R5","Resistor_SMD:R_0805_2012Metric","C966525"
"10k","R6","Resistor_SMD:R_0805_2012Metric","C2989580"
"499","R7","Resistor_SMD:R_0805_2012Metric","C844629"
"SW_Push","SW1","random-keyboard-parts:SKQG-1155865","C115351"
"AT90USB1286-AU","U1","Package_QFP:TQFP-64_14x14mm_P0.8mm","C1337544"
"HRO-TYPE-C-31-M-12","USB1","Type-C:HRO-TYPE-C-31-M-12-HandSoldering","C165948"
"16MHz","Y1","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","C2981652"
