Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0805_2012Metric,400.9875,-53.18125,0,bottom
C2,22pF,C_0805_2012Metric,406.4,-73.025,0,bottom
C3,22pF,C_0805_2012Metric,406.4,-66.675,180,bottom
C4,10uF,C_0805_2012Metric,404.8125,-51.59375,0,bottom
C5,0.1uF,C_0805_2012Metric,404.8125,-53.975,0,bottom
C6,0.1uF,C_0805_2012Metric,404.8125,-56.35625,0,bottom
C7,0.1uF,C_0805_2012Metric,404.8125,-58.7375,0,bottom
C8,0.1uF,C_0805_2012Metric,404.8125,-61.11875,0,bottom
C9,0.1uF,C_0805_2012Metric,404.8125,-63.5,0,bottom
D1,PRTR5V0U2X,SOT-143,390.525,-50.00625,0,bottom
D10,D_Small,D_SOD-123,104.775,-43.65625,270,bottom
D11,D_Small,D_SOD-123,123.825,-43.71875,270,bottom
D12,D_Small,D_SOD-123,142.875,-43.71875,270,bottom
D13,D_Small,D_SOD-123,161.925,-43.65625,270,bottom
D14,D_Small,D_SOD-123,20.6375,-43.65625,270,bottom
D15,D_Small,D_SOD-123,47.625,-43.65625,270,bottom
D16,D_Small,D_SOD-123,66.675,-43.71875,270,bottom
D17,D_Small,D_SOD-123,85.725,-43.71875,270,bottom
D18,D_Small,D_SOD-123,20.6375,-62.76875,270,bottom
D19,D_Small,D_SOD-123,47.625,-62.76875,270,bottom
D20,D_Small,D_SOD-123,66.675,-62.76875,270,bottom
D21,D_Small,D_SOD-123,85.725,-62.70625,270,bottom
D22,D_Small,D_SOD-123,20.6375,-81.81875,270,bottom
D23,D_Small,D_SOD-123,52.3875,-81.75625,270,bottom
D24,D_Small,D_SOD-123,76.2,-81.75625,270,bottom
D25,D_Small,D_SOD-123,95.25,-81.81875,270,bottom
D26,D_Small,D_SOD-123,180.975,-43.71875,270,bottom
D27,D_Small,D_SOD-123,200.025,-43.71875,270,bottom
D28,D_Small,D_SOD-123,219.075,-43.71875,270,bottom
D29,D_Small,D_SOD-123,238.125,-43.65625,270,bottom
D30,D_Small,D_SOD-123,257.175,-43.71875,270,bottom
D31,D_Small,D_SOD-123,276.225,-43.65625,270,bottom
D32,D_Small,D_SOD-123,295.275,-43.71875,270,bottom
D33,D_Small,D_SOD-123,314.325,-43.65625,270,bottom
D34,D_Small,D_SOD-123,341.3125,-43.65625,270,bottom
D35,D_Small,D_SOD-123,360.3625,-43.65625,270,bottom
D36,D_Small,D_SOD-123,104.775,-62.76875,270,bottom
D37,D_Small,D_SOD-123,123.825,-62.76875,270,bottom
D38,D_Small,D_SOD-123,140.49375,-64.29375,270,bottom
D39,D_Small,D_SOD-123,161.925,-62.70625,270,bottom
D40,D_Small,D_SOD-123,180.975,-62.76875,270,bottom
D41,D_Small,D_SOD-123,197.64375,-64.35625,270,bottom
D42,D_Small,D_SOD-123,219.075,-62.76875,270,bottom
D43,D_Small,D_SOD-123,238.125,-62.70625,270,bottom
D44,D_Small,D_SOD-123,254.79375,-64.35625,270,bottom
D45,D_Small,D_SOD-123,276.225,-62.70625,270,bottom
D46,D_Small,D_SOD-123,304.8,-62.70625,270,bottom
D47,D_Small,D_SOD-123,374.65,-61.11875,0,bottom
D48,D_Small,D_SOD-123,341.3125,-62.70625,270,bottom
D49,D_Small,D_SOD-123,360.3625,-62.70625,270,bottom
D50,D_Small,D_SOD-123,114.3,-81.81875,270,bottom
D51,D_Small,D_SOD-123,133.35,-81.75625,270,bottom
D52,D_Small,D_SOD-123,152.4,-81.75625,270,bottom
D53,D_Small,D_SOD-123,171.45,-81.81875,270,bottom
D54,D_Small,D_SOD-123,190.5,-81.75625,270,bottom
D55,D_Small,D_SOD-123,209.55,-81.75625,270,bottom
D56,D_Small,D_SOD-123,228.6,-81.75625,270,bottom
D57,D_Small,D_SOD-123,247.65,-81.75625,270,bottom
D58,D_Small,D_SOD-123,266.7,-81.81875,270,bottom
D59,D_Small,D_SOD-123,285.75,-81.69375,270,bottom
D60,D_Small,D_SOD-123,309.5625,-81.81875,270,bottom
D61,D_Small,D_SOD-123,375.44375,-80.16875,0,bottom
D62,D_Small,D_SOD-123,341.3125,-81.81875,270,bottom
D63,D_Small,D_SOD-123,360.3625,-81.81875,270,bottom
D64,D_Small,D_SOD-123,20.6375,-100.86875,270,bottom
D65,D_Small,D_SOD-123,54.76875,-100.80625,270,bottom
D66,D_Small,D_SOD-123,80.9625,-100.86875,270,bottom
D67,D_Small,D_SOD-123,100.0125,-100.80625,270,bottom
D68,D_Small,D_SOD-123,119.0625,-100.80625,270,bottom
D69,D_Small,D_SOD-123,138.1125,-100.86875,270,bottom
D70,D_Small,D_SOD-123,157.1625,-100.80625,270,bottom
D71,D_Small,D_SOD-123,176.2125,-100.86875,270,bottom
D72,D_Small,D_SOD-123,195.2625,-100.80625,270,bottom
D73,D_Small,D_SOD-123,214.3125,-100.80625,270,bottom
D74,D_Small,D_SOD-123,233.3625,-100.86875,270,bottom
D75,D_Small,D_SOD-123,252.4125,-100.86875,270,bottom
D76,D_Small,D_SOD-123,271.4625,-100.86875,270,bottom
D77,D_Small,D_SOD-123,302.41875,-100.86875,270,bottom
D78,D_Small,D_SOD-123,375.44375,-99.21875,0,bottom
D79,D_Small,D_SOD-123,341.3125,-100.80625,270,bottom
D80,D_Small,D_SOD-123,360.3625,-100.86875,270,bottom
D81,D_Small,D_SOD-123,20.6375,-119.91875,270,bottom
D82,D_Small,D_SOD-123,59.53125,-119.91875,270,bottom
D83,D_Small,D_SOD-123,90.4875,-119.85625,270,bottom
D84,D_Small,D_SOD-123,109.5375,-119.91875,270,bottom
D85,D_Small,D_SOD-123,128.5875,-119.91875,270,bottom
D86,D_Small,D_SOD-123,147.6375,-119.91875,270,bottom
D87,D_Small,D_SOD-123,166.6875,-119.91875,270,bottom
D88,D_Small,D_SOD-123,185.7375,-119.79375,270,bottom
D89,D_Small,D_SOD-123,204.7875,-119.91875,270,bottom
D90,D_Small,D_SOD-123,223.8375,-119.85625,270,bottom
